SMILES-ID:629 is discarded due to the problem in the structural parameters.
SMILES-ID:630 is discarded due to the problem in the structural parameters.
SMILES-ID:631 is discarded due to the problem in the structural parameters.
SMILES-ID:656 is discarded due to the problem in the structural parameters.
SMILES-ID:657 is discarded due to the problem in the structural parameters.
SMILES-ID:658 is discarded due to the problem in the structural parameters.
SMILES-ID:1035 is discarded due to the problem in the structural parameters.
SMILES-ID:1667 is discarded due to the problem in the structural parameters.
SMILES-ID:1697 is discarded due to the problem in the structural parameters.
SMILES-ID:1772 is discarded due to the problem in the structural parameters.
SMILES-ID:1773 is discarded due to the problem in the structural parameters.
SMILES-ID:1808 is discarded due to the problem in the structural parameters.
SMILES-ID:1971 is discarded due to the problem in the structural parameters.
SMILES-ID:2084 is discarded due to the problem in the structural parameters.
SMILES-ID:2085 is discarded due to the problem in the structural parameters.
SMILES-ID:2102 is discarded due to the problem in the structural parameters.
SMILES-ID:2103 is discarded due to the problem in the structural parameters.
SMILES-ID:2104 is discarded due to the problem in the structural parameters.
SMILES-ID:2128 is discarded due to the problem in the structural parameters.
SMILES-ID:2192 is discarded due to the problem in the structural parameters.
SMILES-ID:2262 is discarded due to the problem in the structural parameters.
SMILES-ID:2292 is discarded due to the problem in the structural parameters.
SMILES-ID:2301 is discarded due to the problem in the structural parameters.
SMILES-ID:2304 is discarded due to the problem in the structural parameters.
SMILES-ID:2333 is discarded due to the problem in the structural parameters.
SMILES-ID:2365 is discarded due to the problem in the structural parameters.
SMILES-ID:2371 is discarded due to the problem in the structural parameters.
SMILES-ID:2504 is discarded due to the problem in the structural parameters.
SMILES-ID:2592 is discarded due to the problem in the structural parameters.
SMILES-ID:2593 is discarded due to the problem in the structural parameters.
SMILES-ID:2595 is discarded due to the problem in the structural parameters.
SMILES-ID:2859 is discarded due to the problem in the structural parameters.
SMILES-ID:3238 is discarded due to the problem in the structural parameters.
SMILES-ID:3382 is discarded due to the problem in the structural parameters.
SMILES-ID:3446 is discarded due to the problem in the structural parameters.
SMILES-ID:3498 is discarded due to the problem in the structural parameters.
SMILES-ID:3499 is discarded due to the problem in the structural parameters.
SMILES-ID:3500 is discarded due to the problem in the structural parameters.
SMILES-ID:3635 is discarded due to the problem in the structural parameters.
SMILES-ID:3653 is discarded due to the problem in the structural parameters.
SMILES-ID:3669 is discarded due to the problem in the structural parameters.
SMILES-ID:3681 is discarded due to the problem in the structural parameters.
SMILES-ID:3683 is discarded due to the problem in the structural parameters.
SMILES-ID:3684 is discarded due to the problem in the structural parameters.
SMILES-ID:3685 is discarded due to the problem in the structural parameters.
SMILES-ID:3700 is discarded due to the problem in the structural parameters.
SMILES-ID:3716 is discarded due to the problem in the structural parameters.
SMILES-ID:3720 is discarded due to the problem in the structural parameters.
SMILES-ID:3722 is discarded due to the problem in the structural parameters.
molecule-id;erf;rf;dnn;knn;svr;esvr;lr
44                  ;-7.983;-8.212;-8.133;-7.549;-7.767;-7.438;-7.762
45                  ;-8.123;-8.375;-8.589;-6.124;-8.115;-8.113;-8.078
46                  ;-5.688;-5.567;-6.056;-6.311;-5.904;-5.417;-5.923
47                  ;-6.970;-7.098;-7.667;-7.666;-6.805;-7.072;-6.914
48                  ;-8.322;-8.521;-8.387;-7.734;-8.091;-7.530;-8.115
49                  ;-8.292;-8.529;-8.574;-6.967;-8.157;-7.820;-8.107
50                  ;-8.548;-8.708;-9.076;-9.120;-8.146;-8.879;-8.301
51                  ;-8.895;-8.905;-9.651;-8.297;-8.216;-9.260;-8.370
52                  ;-8.887;-8.886;-9.649;-8.355;-8.213;-9.257;-8.366
53                  ;-7.939;-8.197;-8.903;-8.450;-7.802;-8.411;-7.748
54                  ;-8.079;-8.243;-8.826;-8.161;-7.898;-8.452;-7.821
55                  ;-7.704;-8.045;-7.904;-5.487;-7.828;-7.373;-7.782
56                  ;-7.810;-8.079;-8.162;-7.648;-7.663;-7.786;-7.648
57                  ;-8.663;-8.662;-9.164;-9.008;-8.699;-8.827;-8.697
58                  ;-6.241;-6.072;-6.476;-7.336;-6.399;-6.255;-6.521
59                  ;-7.592;-7.927;-7.816;-7.479;-7.453;-7.491;-7.497
60                  ;-7.516;-7.596;-7.862;-7.247;-7.197;-7.211;-7.244
61                  ;-7.516;-7.590;-7.862;-7.247;-7.197;-7.211;-7.244
62                  ;-6.832;-6.335;-7.908;-8.460;-6.998;-7.148;-7.089
63                  ;-6.622;-6.509;-7.284;-6.064;-6.829;-6.877;-6.894
64                  ;-8.373;-8.706;-8.504;-7.346;-8.344;-7.701;-8.310
65                  ;-8.377;-8.706;-8.504;-7.346;-8.344;-7.701;-8.310
66                  ;-8.437;-8.702;-8.821;-8.063;-8.785;-8.324;-8.737
67                  ;-6.032;-5.727;-6.030;-6.938;-5.641;-5.898;-5.634
68                  ;-6.299;-6.231;-6.170;-7.217;-6.194;-5.810;-6.180
69                  ;-6.343;-6.324;-6.358;-6.668;-6.402;-6.223;-6.371
70                  ;-8.974;-9.060;-9.184;-7.114;-8.258;-9.167;-8.328
71                  ;-7.530;-8.073;-7.715;-7.397;-7.720;-7.587;-7.758
72                  ;-7.494;-7.877;-7.551;-7.540;-7.584;-7.220;-7.608
73                  ;-7.396;-7.910;-7.402;-6.940;-7.525;-7.174;-7.580
74                  ;-7.287;-7.666;-7.388;-7.118;-7.093;-7.076;-7.189
75                  ;-8.379;-8.311;-8.502;-9.407;-7.239;-8.111;-7.466
76                  ;-7.926;-7.708;-8.361;-9.032;-7.200;-7.801;-7.283
77                  ;-7.611;-7.874;-7.857;-7.376;-7.642;-7.549;-7.668
78                  ;-7.616;-7.880;-7.588;-7.391;-7.448;-7.285;-7.481
79                  ;-7.548;-7.907;-7.553;-7.104;-7.338;-7.318;-7.397
