molecule-id;erf;rf;dnn;knn;svr;esvr;lr
81                  ;-8.726;-8.782;-8.343;-8.626;-7.152;-8.787;-7.159
82                  ;-8.049;-7.793;-7.879;-8.357;-7.045;-8.641;-6.882
83                  ;-9.544;-9.757;-8.927;-10.055;-7.830;-9.477;-8.039
84                  ;-9.904;-10.115;-10.100;-10.000;-8.939;-10.860;-8.999
85                  ;-8.551;-8.527;-8.110;-9.427;-7.383;-8.513;-7.400
86                  ;-9.059;-9.163;-8.640;-9.337;-8.003;-8.660;-8.128
87                  ;-9.444;-9.496;-9.487;-9.515;-8.530;-9.403;-8.699
88                  ;-10.499;-10.723;-10.368;-9.413;-10.048;-9.653;-10.296
89                  ;-9.269;-9.105;-8.814;-8.693;-7.928;-8.860;-7.928
90                  ;-8.789;-9.086;-8.341;-10.116;-7.391;-8.616;-7.508
91                  ;-9.990;-10.070;-10.193;-10.390;-9.659;-10.612;-9.714
92                  ;-9.700;-10.028;-9.601;-9.392;-9.727;-9.355;-9.828
93                  ;-10.699;-10.992;-10.363;-10.068;-9.637;-10.163;-9.716
94                  ;-8.991;-8.945;-8.658;-8.943;-7.593;-8.725;-7.571
95                  ;-10.267;-10.528;-9.404;-9.020;-9.033;-9.078;-9.178
96                  ;-10.247;-10.264;-10.326;-10.087;-9.129;-10.473;-9.305
97                  ;-9.978;-10.164;-10.366;-10.371;-9.418;-10.900;-9.504
98                  ;-10.279;-10.608;-10.255;-9.389;-9.773;-9.763;-10.018
99                  ;-9.694;-9.882;-10.126;-10.009;-9.003;-10.067;-9.143
100                 ;-10.387;-10.680;-10.268;-9.830;-9.881;-9.554;-9.926
