C[NH+]1CCN2c3ncccc3Cc3ccccc3C2C1	ZINC000000000509
C[NH+]1CCN2c3ncccc3Cc3ccccc3C2C1	ZINC000000000509
Cc1ccccc1C(OCC[NH+](C)C)c1ccccc1	ZINC000000000565
Cc1ccccc1C(OCCN(C)C)c1ccccc1	ZINC000000000565
CC(C)[NH2+]CC1CCc2cc(CO)c([N+](=O)[O-])cc2N1	ZINC000000000570
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O	ZINC000000000575
CC(C)=CC[NH+]1CCC2(C)c3cc(O)ccc3CC1C2C	ZINC000000000596
CC(C)=CC[NH+]1CCC2(C)c3cc(O)ccc3CC1C2C	ZINC000000000596
C[NH+](C)CCC(c1ccccc1)c1ccccn1	ZINC000000000607
CC1[NH2+]CCOC1c1ccccc1	ZINC000000000609
CC1NCCOC1c1ccccc1	ZINC000000000609
OC(c1ccccc1)(c1ccccc1)C1CCCC[NH2+]1	ZINC000000000633
CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)n1	ZINC000000000637
CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)n1	ZINC000000000637
Cc1ccc2c(c1)c1c3n2CC[NH2+]C3CCC1	ZINC000000000641
Cc1ccc2c(c1)c1c3n2CCNC3CCC1	ZINC000000000641
CC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)cc1	ZINC000000000652
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1	ZINC000000000655
CCC(=O)c1ccc2c(c1)N(CC(C)[NH+](C)C)c1ccccc1S2	ZINC000000000669
CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2	ZINC000000000669
CC(Cc1ccc2c(c1)OCO2)[NH2+]CC(O)c1ccc(O)c(O)c1	ZINC000000000677
CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1	ZINC000000000686
C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	ZINC000000000688
C=CC1C[NH+]2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	ZINC000000000688
CC([NH3+])(Cc1ccc(O)cc1)C(=O)O	ZINC000000000693
Cc1ncc([N+](=O)[O-])n1CC(C)O	ZINC000000000711
CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2	ZINC000000000724
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	ZINC000000000740
CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1	ZINC000000000746
O=C1NOCC1N=Cc1ccc(C=NC2CONC2=O)cc1	ZINC000000000747
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)C[NH+]1CC2	ZINC000000000751
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)C[NH+]1CC2	ZINC000000000751
COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)C[NH+]1CC2	ZINC000000000751
CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1	ZINC000000000767
Cc1cccc(C)c1NC(=O)C(C)[NH3+]	ZINC000000000786
Cc1cccc(C)c1NC(=O)C(C)N	ZINC000000000786
COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC	ZINC000000000797
CC(CN1c2ccccc2Sc2ccccc21)C[NH+](C)C	ZINC000000000808
CCOc1ccccc1OCC1C[NH2+]CCO1	ZINC000000000833
CCOc1ccccc1OCC1CNCCO1	ZINC000000000833
Cn1c(=O)c2c(ncn2CC(O)C[NH+](C)CCO)n(C)c1=O	ZINC000000000843
Cn1c(=O)c2c(ncn2CC(O)C[NH+](C)CCO)n(C)c1=O	ZINC000000000843
CN(CCO)CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	ZINC000000000843
CC(c1cc2ccccc2s1)N(O)C(N)=O	ZINC000000000850
CC(c1cc2ccccc2s1)N(O)C(N)=O	ZINC000000000850
COc1cccc(C2(O)CCCCC2C[NH+](C)C)c1	ZINC000000000853
CN1CCN2c3ccccc3Cc3ccccc3C2C1	ZINC000000000855
C[NH+]1CCN2c3ccccc3Cc3ccccc3C2C1	ZINC000000000855
C[NH+]1CCN2c3ccccc3Cc3ccccc3C2C1	ZINC000000000855
COc1ccc(CC(C)[NH2+]CC(O)c2ccc(O)c(NC=O)c2)cc1	ZINC000000000856
COc1ccc(CC(C)[NH2+]CC(O)c2ccc(O)c(NC=O)c2)cc1	ZINC000000000856
Nc1ncnc2nc[nH]c12	ZINC000000000882
Nc1ncnc2[nH]cnc12	ZINC000000000882
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	ZINC000000000903
CN(C)c1nc(N(C)C)nc(N(C)C)n1	ZINC000000000905
CN(C)c1nc(N(C)C)[nH+]c(N(C)C)n1	ZINC000000000905
Nc1ccc(C(=O)O)cc1	ZINC000000000920
Nc1ccc(C(=O)O)c(O)c1	ZINC000000000922
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1	ZINC000000000928
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2	ZINC000000000931
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2	ZINC000000000931
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1	ZINC000000000941
COc1ccc(-c2cc(=S)ss2)cc1	ZINC000000000949
COc1ccc(C(=O)C=C(O)c2ccc(C(C)(C)C)cc2)cc1	ZINC000000000973
COc1ccc(C(=O)C=C(O)c2ccc(C(C)(C)C)cc2)cc1	ZINC000000000973
O=C(O)c1ccccc1	ZINC000000001011
O=C(OCc1ccccc1)c1ccccc1	ZINC000000001021
[NH3+]CCc1cc[nH]n1	ZINC000000001028
[NH3+]CCc1ccn[nH]1	ZINC000000001028
CC[N+](C)(C)Cc1ccccc1Br	ZINC000000001041
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1	ZINC000000001051
Cn1c(=O)c2c(ncn2C)n(C)c1=O	ZINC000000001084
CCOC(=O)n1ccn(C)c1=S	ZINC000000001091
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	ZINC000000001115
Oc1c(Cl)cc(Cl)c2cccnc12	ZINC000000001131
Oc1c(Cl)cc(Cl)c2cccnc12	ZINC000000001131
Cc1cc(O)cc(C)c1Cl	ZINC000000001132
C[NH+](C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21	ZINC000000001137
Cc1cc(C2CCCCC2)n(O)c(=O)c1	ZINC000000001145
Cc1cc(C2CCCCC2)n(O)c(=O)c1	ZINC000000001145
C[NH+](C)CCC=C1c2ccccc2COc2ccccc21	ZINC000000001148
Cc1c(Cl)cccc1Nc1ncccc1C(=O)O	ZINC000000001195
CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl	ZINC000000001207
Cc1ccccc1N1CC[NH+](CCc2nnc3n2CCCC3)CC1	ZINC000000001246
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1	ZINC000000001246
Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1	ZINC000000001261
CC(Oc1c(Cl)cccc1Cl)C1=[NH+]CCN1	ZINC000000001266
COC(=O)C(c1ccccc1)C1CCCC[NH2+]1	ZINC000000001267
CC[NH+](CC)CCOc1ccc2nc(N(C)C)sc2c1	ZINC000000001271
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	ZINC000000001281
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1	ZINC000000001283
CCN(CC)C(=O)N1CCN(C)CC1	ZINC000000001288
CCN(CC)C(=O)N1CC[NH+](C)CC1	ZINC000000001288
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1	ZINC000000001290
CCN(CC)C(=O)c1cccc(C)c1	ZINC000000001291
