MoleculeID;PBFE(ERF);PBFE(RF);PBFE(DNN);PBFE(KNN);PBFE(SVR);PBFE(εSVR);PBFE(LR)
APVD_1072_ZINC;	-6.442; -5.921; -6.663; -6.948; -6.024; -6.587; -5.988
APVD_1073_ZINC;	-5.760; -5.638; -5.737; -6.824; -5.594; -5.116; -5.626
APVD_1074_ZINC;	-8.237; -8.644; -8.437; -7.975; -8.125; -7.704; -8.247
APVD_1075_ZINC;	-9.553; -9.509; -9.635; -7.715; -9.198; -9.590; -9.055
APVD_1076_ZINC;	-8.904; -8.917; -9.410; -7.386; -8.130; -9.272; -7.993
APVD_1077_ZINC;	-8.982; -9.059; -9.382; -7.763; -8.245; -9.268; -8.106
APVD_1078_ZINC;	-9.960; -9.833; -10.214; -8.100; -9.165; -10.276; -9.091
APVD_1079_ZINC;	-8.618; -8.580; -8.412; -8.747; -7.984; -8.305; -8.046
APVD_1080_ZINC;	-6.218; -6.146; -5.860; -6.704; -5.530; -5.245; -5.686
APVD_1081_ZINC;	-7.437; -7.486; -7.079; -6.787; -7.844; -6.887; -7.878
APVD_1082_ZINC;	-6.077; -5.845; -6.039; -7.091; -5.163; -5.555; -5.162
APVD_1083_ZINC;	-7.006; -6.730; -7.457; -7.232; -6.123; -7.036; -6.332
APVD_1084_ZINC;	-6.111; -5.873; -6.176; -6.827; -5.006; -5.923; -5.049
APVD_1085_ZINC;	-6.867; -6.211; -7.635; -8.627; -6.660; -6.944; -6.770
APVD_1086_ZINC;	-5.812; -5.514; -5.954; -4.778; -6.646; -5.054; -6.692
APVD_1087_ZINC;	-5.781; -5.745; -5.271; -4.856; -4.506; -5.273; -4.628
APVD_1088_ZINC;	-5.738; -5.743; -5.314; -4.650; -4.413; -5.302; -4.525
APVD_1089_ZINC;	-5.738; -5.743; -5.314; -4.650; -4.413; -5.302; -4.525
APVD_1090_ZINC;	-7.264; -6.562; -7.928; -9.570; -6.718; -7.368; -6.828
APVD_1091_ZINC;	-8.893; -8.759; -8.696; -7.082; -8.228; -8.490; -8.308
APVD_1092_ZINC;	-8.894; -8.743; -8.695; -7.082; -8.228; -8.492; -8.309
APVD_1093_ZINC;	-9.043; -9.002; -8.929; -7.130; -8.220; -8.693; -8.331
APVD_1094_ZINC;	-9.032; -8.961; -9.019; -7.082; -8.252; -8.841; -8.340
APVD_1095_ZINC;	-9.198; -9.137; -8.951; -7.696; -8.547; -8.638; -8.592
APVD_1096_ZINC;	-9.223; -9.236; -8.880; -7.963; -8.639; -8.597; -8.698
APVD_1097_ZINC;	-6.915; -7.102; -7.475; -5.875; -6.951; -7.206; -6.867
APVD_1098_ZINC;	-8.939; -8.841; -8.640; -7.134; -8.796; -8.703; -8.878
APVD_1099_ZINC;	-9.633; -9.544; -9.824; -8.187; -8.854; -9.666; -8.956
APVD_1100_ZINC;	-9.741; -9.697; -9.884; -8.465; -9.010; -9.819; -9.103
APVD_1101_ZINC;	-9.570; -9.538; -9.827; -8.187; -8.856; -9.718; -8.953
APVD_1102_ZINC;	-9.768; -9.670; -9.892; -8.465; -9.015; -9.855; -9.105
APVD_1103_ZINC;	-8.351; -8.597; -7.856; -7.878; -7.798; -8.193; -7.860
APVD_1104_ZINC;	-8.350; -8.474; -7.882; -7.821; -7.833; -8.193; -7.883
APVD_1105_ZINC;	-8.375; -8.575; -7.860; -7.878; -7.789; -8.190; -7.849
APVD_1106_ZINC;	-8.248; -8.531; -8.162; -6.532; -7.592; -8.108; -7.677
APVD_1107_ZINC;	-7.153; -6.949; -7.091; -7.407; -6.390; -7.093; -6.500
APVD_1108_ZINC;	-7.153; -6.949; -7.091; -7.407; -6.390; -7.093; -6.500
APVD_1109_ZINC;	-7.113; -7.031; -7.010; -8.264; -6.300; -7.124; -6.399
APVD_1110_ZINC;	-9.355; -9.402; -9.454; -8.163; -9.915; -9.946; -9.828
APVD_1111_ZINC;	-8.223; -8.378; -8.520; -7.949; -8.290; -8.013; -8.314
APVD_1112_ZINC;	-8.449; -8.780; -8.631; -7.363; -8.341; -7.981; -8.285
APVD_1113_ZINC;	-8.506; -8.790; -8.839; -7.964; -8.532; -8.242; -8.460
APVD_1114_ZINC;	-8.515; -8.757; -9.097; -8.340; -8.483; -8.786; -8.481
APVD_1115_ZINC;	-8.524; -8.757; -9.104; -8.340; -8.486; -8.792; -8.485
APVD_1116_ZINC;	-8.133; -8.281; -9.381; -8.975; -8.043; -8.859; -7.942
APVD_1117_ZINC;	-7.969; -7.872; -9.227; -9.213; -7.874; -8.591; -7.780
APVD_1118_ZINC;	-9.204; -9.210; -8.934; -7.381; -9.029; -9.137; -8.970
APVD_1119_ZINC;	-7.916; -8.077; -8.875; -9.397; -7.864; -8.865; -7.872
APVD_1120_ZINC;	-8.795; -8.901; -8.541; -9.133; -7.650; -8.150; -7.747
APVD_1121_ZINC;	-8.765; -8.720; -8.591; -8.308; -7.954; -8.330; -8.025
APVD_1122_ZINC;	-8.570; -8.885; -8.780; -9.656; -8.262; -8.260; -8.282
APVD_1123_ZINC;	-8.570; -8.885; -8.780; -9.656; -8.262; -8.260; -8.282
APVD_1124_ZINC;	-9.302; -9.300; -9.648; -8.603; -8.983; -9.807; -9.007
APVD_1125_ZINC;	-7.551; -7.901; -7.632; -5.381; -7.710; -6.982; -7.687
APVD_1126_ZINC;	-6.737; -6.530; -7.377; -8.363; -6.372; -6.662; -6.513
APVD_1127_ZINC;	-7.203; -6.731; -7.756; -6.871; -6.499; -6.938; -6.718
APVD_1128_ZINC;	-6.929; -6.511; -7.817; -7.702; -6.693; -7.030; -6.897
APVD_1129_ZINC;	-7.908; -8.339; -8.650; -8.178; -8.417; -7.718; -8.067
APVD_1130_ZINC;	-9.123; -9.149; -9.333; -9.723; -8.381; -9.212; -8.621
APVD_1131_ZINC;	-8.660; -8.766; -9.236; -9.120; -8.512; -8.861; -8.670
APVD_1132_ZINC;	-8.837; -8.890; -9.052; -8.181; -8.156; -8.844; -8.403
APVD_1133_ZINC;	-8.584; -8.672; -8.954; -8.029; -8.409; -8.751; -8.550
APVD_1134_ZINC;	-8.728; -8.759; -9.274; -9.763; -8.560; -9.182; -8.677
APVD_1135_ZINC;	-8.737; -8.755; -9.300; -9.763; -8.576; -9.215; -8.696
APVD_1136_ZINC;	-8.585; -8.484; -8.708; -8.925; -8.332; -8.679; -8.458
APVD_1137_ZINC;	-8.573; -8.508; -8.738; -8.649; -8.347; -8.711; -8.474
APVD_1138_ZINC;	-8.793; -8.933; -9.210; -7.418; -8.984; -9.025; -8.934
APVD_1139_ZINC;	-8.353; -8.741; -8.462; -9.891; -8.335; -8.082; -8.453
APVD_1140_ZINC;	-9.236; -9.368; -9.367; -7.937; -9.462; -9.655; -9.496
APVD_1141_ZINC;	-9.361; -9.406; -9.495; -7.937; -9.649; -9.804; -9.669
APVD_1142_ZINC;	-8.556; -8.453; -9.668; -7.205; -8.704; -9.801; -8.600
APVD_1143_ZINC;	-8.618; -8.748; -9.173; -8.634; -9.310; -9.220; -9.196
APVD_1144_ZINC;	-8.801; -8.825; -9.184; -9.162; -9.347; -9.157; -9.291
APVD_1145_ZINC;	-9.003; -9.013; -9.441; -9.021; -9.510; -9.508; -9.517
APVD_1146_ZINC;	-8.640; -8.755; -9.182; -8.477; -9.317; -9.225; -9.202
APVD_1147_ZINC;	-8.814; -8.831; -9.194; -9.294; -9.354; -9.166; -9.299
APVD_1148_ZINC;	-8.761; -8.794; -9.474; -8.910; -9.479; -9.541; -9.349
APVD_1149_ZINC;	-6.984; -6.486; -7.911; -9.327; -6.539; -7.251; -6.643
APVD_1150_ZINC;	-8.457; -8.613; -8.008; -7.067; -8.138; -8.469; -8.158
APVD_1151_ZINC;	-8.419; -8.580; -7.994; -7.067; -8.132; -8.410; -8.153
APVD_1152_ZINC;	-8.438; -8.576; -7.991; -7.067; -8.132; -8.409; -8.154
APVD_1153_ZINC;	-8.311; -8.661; -8.303; -6.770; -7.937; -8.403; -7.984
APVD_1154_ZINC;	-7.739; -8.170; -7.895; -7.376; -7.981; -7.940; -7.987
APVD_1155_ZINC;	-7.870; -8.099; -8.186; -7.853; -8.036; -7.797; -8.030
APVD_1156_ZINC;	-5.684; -5.613; -5.549; -5.637; -4.906; -5.686; -4.974
APVD_1157_ZINC;	-8.249; -8.200; -8.595; -9.313; -7.477; -8.619; -7.699
APVD_1158_ZINC;	-8.121; -8.297; -8.653; -8.405; -7.588; -8.695; -7.794
APVD_1159_ZINC;	-8.328; -8.582; -9.057; -9.316; -7.914; -8.655; -8.085
APVD_1160_ZINC;	-8.457; -8.608; -8.466; -6.483; -7.828; -8.286; -7.859
APVD_1161_ZINC;	-8.551; -8.636; -8.403; -6.395; -7.811; -8.201; -7.866
APVD_1162_ZINC;	-8.801; -8.819; -8.837; -7.519; -8.006; -8.754; -8.124
APVD_1163_ZINC;	-8.704; -8.836; -8.326; -6.923; -8.115; -8.378; -8.122
APVD_1164_ZINC;	-8.846; -8.966; -9.081; -6.519; -8.550; -9.174; -8.570
APVD_1165_ZINC;	-8.904; -8.811; -9.245; -7.277; -8.442; -9.201; -8.475
APVD_1166_ZINC;	-8.846; -8.966; -9.081; -6.519; -8.550; -9.174; -8.570
APVD_1167_ZINC;	-8.904; -8.811; -9.245; -7.277; -8.442; -9.201; -8.475
APVD_1168_ZINC;	-8.064; -8.363; -8.337; -7.564; -8.266; -7.777; -8.289
APVD_1169_ZINC;	-9.161; -9.195; -9.191; -7.413; -8.570; -9.120; -8.655
APVD_1170_ZINC;	-9.090; -9.087; -9.079; -7.126; -8.793; -9.079; -8.832
